epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.642,1.13461,5.742,0.01787,0.52208,0.62476,0.59274,0.44793,0.78235,3.27118,0.0145,0.00026664,0.00026664,0.00026664
2,444.508,1.02219,2.31998,0.01419,0.69334,0.70104,0.70297,0.39923,1.71209,1.35776,0.0442,0.000539001,0.000539001,0.000539001
3,662.136,1.09996,1.5626,0.01554,0.48709,0.5143,0.4871,0.30542,nan,nan,nan,0.000805862,0.000805862,0.000805862
4,914.426,1.12114,1.39711,0.01584,0.78777,0.57082,0.70228,0.44402,1.38311,1.28965,0.0351,0.00106722,0.00106722,0.00106722
5,1142.09,1.1238,1.22932,0.01631,0.71749,0.71923,0.78213,0.43221,1.53672,1.2003,0.03946,0.001067,0.001067,0.001067
6,1372.78,1.08059,1.1966,0.015,0.80368,0.66241,0.7952,0.5525,1.15799,1.29294,0.03335,0.00105601,0.00105601,0.00105601
7,1599.86,1.10951,1.1911,0.01679,0.63766,0.6866,0.71098,0.51667,1.02529,1.42695,0.02459,0.00104501,0.00104501,0.00104501
8,1824.93,1.06025,1.14739,0.01496,0.77351,0.81123,0.85506,0.63082,1.0049,0.8377,0.02272,0.00103401,0.00103401,0.00103401
9,2046.13,1.00117,1.05624,0.01366,0.83507,0.78549,0.83223,0.64064,0.91828,0.90056,0.02545,0.00102301,0.00102301,0.00102301
10,2262.52,1.01097,1.07875,0.01397,0.77597,0.77317,0.8255,0.64766,0.93304,0.80922,0.02003,0.00101201,0.00101201,0.00101201
11,2487.95,0.99334,1.06007,0.01324,0.79081,0.75024,0.80268,0.59792,1.04816,1.01633,0.02488,0.00100101,0.00100101,0.00100101
12,2707.1,0.935,0.98693,0.01229,0.8105,0.7528,0.83558,0.68565,0.68921,0.78186,0.01557,0.000990012,0.000990012,0.000990012
13,2929.29,0.90149,0.89806,0.01223,0.88781,0.68341,0.85138,0.69584,0.76452,0.75931,0.02022,0.000979013,0.000979013,0.000979013
14,3141.51,0.9044,0.90655,0.01207,0.91063,0.83866,0.90988,0.74953,0.76464,0.54093,0.01876,0.000968014,0.000968014,0.000968014
15,3356.2,0.89091,0.87761,0.01226,0.84002,0.81185,0.87816,0.72757,0.69874,0.75032,0.01629,0.000957015,0.000957015,0.000957015
